"id","topic1","topic2","topic3","topic4","topic5","topic6","topic7","topic8","topic9","topic10","timestamp","user_id"
315,0,1,1,0,0,0,0,0,0,1,"2019-10-29 05:22:33",583
316,0,0,0,0,0,0,0,1,1,0,"2019-10-29 07:45:40",100
317,1,0,1,1,0,0,0,0,0,0,"2019-10-29 08:09:47",793
318,1,0,1,1,0,0,0,0,0,0,"2019-10-29 08:17:19",793
319,1,1,1,0,0,0,0,0,0,0,"2019-10-29 09:04:56",185
320,0,0,0,1,0,0,0,0,1,1,"2019-10-29 09:08:06",308
321,1,1,0,1,0,0,0,0,0,0,"2019-10-29 09:08:43",556
322,0,0,0,1,0,0,0,0,0,0,"2019-10-29 09:54:08",360
323,0,0,0,0,0,1,0,0,0,0,"2019-10-29 09:55:18",360
324,0,0,0,0,0,0,0,0,0,0,"2019-10-29 09:58:58",809
325,1,0,0,1,0,0,0,0,0,0,"2019-10-29 10:44:24",344
326,0,0,0,0,0,0,0,0,0,0,"2019-10-29 18:49:52",658
327,0,0,0,0,0,0,0,0,0,0,"2019-10-29 20:42:10",658
328,0,0,0,0,0,0,0,0,1,1,"2019-10-30 05:12:02",938
329,0,0,0,0,0,0,0,0,0,1,"2019-10-30 06:06:21",864
330,1,1,0,0,0,0,0,0,0,0,"2019-10-30 07:13:13",880
331,0,0,0,0,0,0,0,0,0,0,"2019-10-30 09:06:38",530
332,0,0,1,1,0,0,0,1,0,0,"2019-10-30 09:08:53",530
333,1,1,0,0,0,0,0,0,0,0,"2019-10-30 10:50:49",657
334,0,0,0,0,0,0,0,0,1,1,"2019-10-30 15:04:44",869
335,0,0,1,1,0,0,0,0,1,0,"2019-10-30 15:22:22",869
336,1,0,0,0,0,0,0,0,1,0,"2019-10-30 17:15:12",607
337,0,0,1,0,0,0,0,0,1,1,"2019-10-30 17:31:45",583
338,0,0,0,0,0,0,0,0,1,0,"2019-10-30 19:12:52",494
339,0,0,0,0,0,0,0,0,1,0,"2019-10-31 01:53:34",938
340,0,0,0,0,0,0,0,0,1,0,"2019-10-31 01:53:39",938
341,0,0,0,0,0,0,0,0,1,0,"2019-10-31 01:53:40",938
342,1,0,0,1,0,0,0,0,0,0,"2019-10-31 10:03:25",344
343,1,1,0,0,0,0,0,1,0,0,"2019-10-31 11:07:01",477
344,0,0,0,0,0,0,0,0,0,0,"2019-10-31 14:55:20",887
345,1,0,0,0,0,0,0,0,0,0,"2019-10-31 15:02:19",607
346,0,0,0,0,0,0,0,0,0,0,"2019-10-31 15:03:56",607
347,1,0,1,0,0,1,0,0,0,0,"2019-10-31 15:42:21",588
348,1,0,1,0,0,1,0,0,0,0,"2019-10-31 15:42:39",588
349,1,1,0,0,0,0,0,0,0,0,"2019-10-31 16:16:35",880
350,1,1,0,0,0,0,0,0,0,1,"2019-10-31 17:17:33",736
351,1,1,0,0,0,0,0,0,1,0,"2019-10-31 18:53:32",837
352,0,0,0,0,0,1,0,0,0,0,"2019-10-31 19:07:39",360
353,1,1,0,0,0,0,0,0,1,0,"2019-11-01 04:04:49",837
354,0,0,0,0,0,0,0,0,1,0,"2019-11-01 04:05:28",837
355,1,1,0,0,0,0,0,0,0,0,"2019-11-01 04:41:54",880
356,0,0,0,0,0,0,0,0,0,0,"2019-11-01 06:10:39",1140
357,0,1,0,0,0,1,0,0,0,0,"2019-11-01 06:11:03",1140
358,0,0,0,0,0,0,0,0,0,0,"2019-11-01 06:11:40",1140
359,0,0,0,0,0,0,0,0,0,0,"2019-11-01 06:11:41",1140
