"id","num_recommended","timestamp","user_id","real"
180,8,"2019-11-13 05:15:55",468,8
181,6,"2019-11-14 06:26:14",1076,8
182,9,"2019-11-14 12:03:38",1124,9
183,6,"2019-11-14 14:21:44",1046,9
184,6,"2019-11-17 07:24:35",1166,7
185,6,"2019-11-17 14:29:17",1162,6
186,9,"2019-11-19 12:49:57",254,9
187,8,"2019-11-19 18:38:24",759,8
188,6,"2019-11-28 09:36:05",1035,6
189,6,"2019-11-28 09:36:08",1035,6
190,6,"2019-11-30 12:23:11",1035,6
191,6,"2019-12-01 14:23:00",1035,6
192,6,"2019-12-04 09:31:04",42,6
