"user_id","group","gender","age","edu","pol_knowledge","overconfidence","political_efficacy","pol_interest","overall_media_usage","news_topic_interest","div_trait","div_trait2","news_pref_strength","desirability_of_control","beh_int","first_login","last_visit","number_logins","number_stories_read","m_tv1","m_tv2","m_newspaper","m_computer","m_mobile","t_buit","t_bin","t_econ","t_crime","t_sport","t_ent","t_mil","t_imm","Diversity_1","Diversity_2","Diversity_3","Diversity_4","system_control","strategy_control","satisfaction","control_overall","avg_rating2"
623,3,2,42,6,4,-3,3.33333333333333,3,2.6,4.25,3,7,4.75,3.1,3,2019-10-18 17:19:20,2019-10-29 05:52:28,15,56,5,2,2,1,3,3,5,4,5,4,5,4,4,5,4,5,4,3,3.2,3.85714285714286,3.11111111111111,2.29464285714286
277,2,1,69,4,10,-8,1,2,4,3.25,3,3,7,3.7,4,2019-10-17 07:22:54,2019-11-27 18:45:02,32,107,8,1,8,2,1,5,7,6,2,1,3,1,1,6,4,6,3,4.25,3.2,5,3.66666666666667,2.78504672897196
524,2,2,34,6,8,-1,4.66666666666667,5,5,3.25,2,3,5.5,2.9,1,2019-10-18 11:24:46,2019-11-08 12:23:44,11,80,5,5,5,5,5,3,5,3,2,1,3,5,4,4,1,2,2,1,2.8,1.85714285714286,2,2.94375
208,2,1,25,3,3,-3,4.66666666666667,2,3.6,1.375,0,1,5.25,4,1,2019-10-16 22:29:19,2019-11-05 14:56:45,10,55,1,1,1,7,8,1,1,1,1,1,4,1,1,5,4,4,5,1.25,1.2,1.71428571428571,1.22222222222222,1.32727272727273
717,4,2,22,4,2,0,1.66666666666667,1,2.4,2.5,0,2,5.75,3.2,1,2019-10-19 10:06:47,2019-10-31 20:34:12,10,43,1,2,2,3,4,3,3,1,4,1,4,3,1,5,5,3,5,1,1.8,2.28571428571429,1.44444444444444,3.25581395348837
657,3,1,57,5,9,1,3.66666666666667,5,7,6,7,8,5,3.9,3,2019-10-18 20:09:22,2019-10-31 18:04:33,12,52,5,6,8,8,8,6,6,6,7,4,6,6,7,6,4,6,4,4.25,4.2,4.71428571428571,4.22222222222222,2.67307692307692
498,1,2,33,5,1,-1,2.66666666666667,1,2,3.25,2,4,6.5,1.2,5,2019-10-18 09:40:49,2019-12-12 11:19:52,15,121,2,2,1,1,4,2,4,1,6,6,4,2,1,7,5,6,4,4.75,4.6,5.71428571428571,4.66666666666667,2.6900826446281
124,1,1,30,7,8,-6,4.66666666666667,5,4.6,6.625,8,8,4.5,4.4,6,2019-10-16 18:06:15,2019-11-04 20:27:34,19,148,1,1,5,8,8,7,7,7,7,7,6,6,6,3,5,4,3,3,2.2,5,2.55555555555556,2.15540540540541
405,3,1,58,6,9,-6,2.66666666666667,3,3,4,4,6,6.25,2.2,3,2019-10-17 13:51:11,2019-11-27 20:40:59,12,41,8,4,1,1,1,4,4,1,1,6,5,6,5,6,6,7,5,2,1.8,4.28571428571429,1.88888888888889,3.40243902439024
731,1,1,72,7,11,-7,3.66666666666667,5,4.6,3.875,3,5,3.25,3.4,5,2019-10-19 11:15:54,2019-11-04 19:04:37,12,131,2,8,6,4,3,3,5,5,3,4,2,4,5,6,3,6,5,4.5,5.8,5,5.22222222222222,2.03053435114504
330,2,1,66,6,6,-4,5.33333333333333,7,5.2,5.875,6,7,6.25,2.4,5,2019-10-17 10:06:28,2019-10-30 13:26:35,26,111,1,1,8,8,8,7,7,7,4,7,3,6,6,6,6,4,6,4.25,4.6,5.85714285714286,4.44444444444444,2.06756756756757
973,3,1,71,5,5,-4,4.33333333333333,4,6.8,4.625,4,6,6.25,2.5,4,2019-10-22 16:58:10,2019-10-30 08:48:34,18,103,8,3,8,8,7,6,5,5,3,7,3,4,4,5,5,6,4,4.75,5,4.71428571428571,4.88888888888889,2.63592233009709
250,3,2,51,6,10,-8,4.66666666666667,4,4.8,4,3,6,5,3.5,5,2019-10-17 05:47:51,2019-11-13 18:33:07,10,80,1,2,7,8,6,5,6,4,4,1,3,5,4,6,4,7,5,2.75,3.8,4.14285714285714,3.33333333333333,1.63125
569,2,2,48,5,7,-6,3.66666666666667,3,2.8,3.125,2,3,5.5,4.6,4,2019-10-18 13:42:04,2019-11-02 15:30:47,25,237,1,3,1,8,1,5,5,2,3,1,2,3,4,5,4,6,3,5.5,4,6.42857142857143,4.66666666666667,2.95147679324895
880,4,2,30,7,7,-1,2.66666666666667,5,5.2,4.125,5,5,5.25,2.8,2,2019-10-21 08:43:32,2019-11-02 08:47:14,8,43,5,7,5,5,4,5,5,3,7,2,1,5,5,6,6,4,4,2.75,3.4,4.42857142857143,3.11111111111111,2.44186046511628
334,3,2,39,6,6,-5,3.33333333333333,4,5.6,3.75,3,5,6.25,3.7,3,2019-10-17 10:20:16,2019-10-26 10:18:58,10,81,5,4,6,7,6,5,5,2,4,1,3,6,4,6,4,5,5,2.75,2.8,4,2.77777777777778,3.66049382716049
658,3,1,52,5,11,-8,5.33333333333333,6,5.2,5.375,6,7,5.75,3.2,4,2019-10-18 20:20:56,2019-10-31 19:51:40,9,53,8,5,6,4,3,6,7,5,6,7,2,4,6,6,3,4,5,4.25,3.2,4.85714285714286,3.66666666666667,2.62264150943396
982,2,1,66,6,9,-9,4.33333333333333,6,5,4.75,5,6,5.25,3,5,2019-10-22 20:38:21,2019-11-11 11:05:01,10,83,6,4,1,7,7,6,6,4,3,6,3,5,5,4,3,5,4,2.25,3.2,5.28571428571429,2.77777777777778,2.57228915662651
235,2,1,33,5,6,-5,4,5,5,4.75,5,8,5,4.1,4,2019-10-17 04:48:46,2019-10-27 20:51:53,17,65,5,3,4,6,7,5,6,4,4,5,5,5,4,6,4,7,5,2.75,3,3.71428571428571,2.88888888888889,3.43076923076923
635,2,1,54,4,10,-7,3.33333333333333,6,7.2,5.875,7,7,6.5,1.6,6,2019-10-18 18:22:31,2019-12-09 10:53:17,15,63,8,6,8,7,7,7,6,6,5,7,3,7,6,6,2,7,4,5.25,5.6,6.57142857142857,5.44444444444444,4.26984126984127
224,2,2,41,3,9,-8,2.66666666666667,3,5.2,5.5,7,7,6.25,2.1,5,2019-10-17 03:22:59,2019-11-01 03:13:53,15,229,7,6,1,5,7,6,7,5,7,1,5,6,7,6,1,6,2,2,2.8,6.28571428571429,2.44444444444444,3.15502183406114
207,1,2,29,5,0,0,2.33333333333333,2,3.8,3.5,1,4,5,3.2,5,2019-10-16 22:25:02,2019-10-24 06:31:22,21,162,5,5,2,1,6,3,4,3,2,4,5,4,3,5,4,4,4,4,4.6,4.42857142857143,4.33333333333333,2.47222222222222
169,1,2,33,6,3,-2,3.66666666666667,4,4.4,3.125,2,2,6.25,3.4,3,2019-10-16 20:16:39,2019-11-06 18:59:14,26,242,1,1,6,6,8,3,5,3,2,1,3,5,3,4,4,5,4,1.25,1.2,3,1.22222222222222,2.64462809917355
331,3,2,42,5,3,-3,2.33333333333333,1,1.4,3.375,3,4,6.25,2.9,6,2019-10-17 10:13:25,2019-10-27 06:02:29,12,98,1,1,1,2,2,2,5,1,7,1,6,4,1,7,4,7,7,3.25,5.2,6.14285714285714,4.33333333333333,4.1734693877551
26,2,1,37,7,9,2,6.33333333333333,7,6.8,5.125,6,8,6.5,3.6,3,2019-10-16 11:21:22,2019-10-29 10:27:50,14,103,8,6,4,8,8,5,6,6,4,4,6,5,5,7,4,7,5,2.75,3,3.71428571428571,2.88888888888889,2.84466019417476
172,3,1,35,7,9,-6,6,5,6.4,5,6,6,5.5,2.8,6,2019-10-16 20:23:07,2019-11-02 12:56:36,16,59,2,6,8,8,8,5,6,7,6,7,2,2,5,6,4,6,4,3,2.6,5.71428571428571,2.77777777777778,3.51694915254237
91,1,2,42,5,9,-6,5.33333333333333,6,7.2,4.875,5,6,6.25,3,2,2019-10-16 16:59:21,2019-11-05 09:57:12,15,177,8,6,6,8,8,6,6,3,7,6,5,2,4,6,6,7,6,2.5,4.2,3.57142857142857,3.44444444444444,3.1864406779661
118,4,2,35,3,3,-3,4,5,4.2,4.625,5,7,3.5,4.3,5,2019-10-16 17:55:36,2019-10-22 12:58:47,11,193,6,4,3,5,3,4,5,5,6,5,5,3,4,6,4,6,5,5.25,5.2,4.42857142857143,5.22222222222222,2.4559585492228
460,1,2,40,6,9,-7,4,4,3.2,4.625,5,7,6,3.3,6,2019-10-17 17:20:02,2019-11-03 12:03:32,16,203,4,4,2,3,3,5,4,4,6,1,6,5,6,6,4,6,5,3.25,4.6,4.85714285714286,4,2.61822660098522
